,category,question,answer
37260,general_knowledge,German mapmaker Martin Waldseemuller named what,America – after Amerigo Vespucci
37261,general_knowledge,"I'll Be There For You, sung by the Rembrandts, is the theme song of which American television comedy series",Friends
37262,sports,In Horse Racing Which Of the 5 Classics Is Run Over The Longest Distance ,The St Leger 
37263,general_knowledge,Septicaemia is better known as _____,Blood poisoning
37264,general_knowledge,What nation has its capital in Zagreb,Croatia
37265,general_knowledge,Sixteen pounds is the maximum legal weight of what sporting device,Bowling
37266,art,Who Kills Nancy In Dickens Novel Oliver Twist ,Bill Sykes 
37267,general_knowledge,What and where is the longest group of coral reefs in the world,Great
37268,general_knowledge,1k equals how many bytes,1024
37269,general_knowledge,When was the record breaking flood of the North Sea,1953
37270,general_knowledge,Who had a major hit with joni mitchell's 'both sides now',Judy collins
37271,entertainment_video_games,"In the Mystical Ninja series, who is Goemon's sidekick?                                                                              ",Ebisumaru
37272,general_knowledge,"Hugo Quotations: ""The greatest lesson in life is to know that even fools are right sometimes.""",Sir Winston Churchill
37273,science_mathematics,"Arc, radius, and sector are parts of a(n) _________.",Circle
37274,general_knowledge,What is the language of hungary,Magyar
37275,general_knowledge,What is a person in his eighties,Octogenarian
37276,general_knowledge,Division of geologic time in the Cenozoic era following the tertiary period (geology),Quaternary period
37277,geography,Where is Mount Washington?,New Hampshire
37278,general_knowledge,The word mattress what taken from which language,Arabic
37279,general_knowledge,"In mythology, which King of Cyprus fell in love with a statue",Pygmalion
37280,entertainment_music,"Who Had A Hit With ""Get Outa My Dreams Get Into My Car""",Billy Ocean
37281,general_knowledge,Who was the first person elected to US swimming hall fame,Johnny Weismuller
37282,general_knowledge,What animal lives in a form,Hare
37283,entertainment_board_games,This is the lowest ranking suit in Bridge.,Clubs
37284,history,In which year was the Berlin Wall constructed? ,1961 
37285,geography,"What unit of currency will buy you dinner in Iraq, Jordan, Tunisia and Yugoslavia",Dinar
37286,general_knowledge,What did d.w griffith invent,False eyelashes
37287,general_knowledge,Which seattle-based band had a hit with 'daughter',Pearl jam
37288,general_knowledge,Meaning 'Black Knife' in Gaelic what is the dagger worn in the sock with full Highland Dress,Skean dhu
37289,general_knowledge,Kind of mild pale Welsh cheese,Caerphilly
37290,geography,What is the capital of Burundi,Bujumbura
37291,science_nature, A herd of sixty cows is capable of producing a ton of milk in less than a __________,Day
37292,general_knowledge,What kind of animal is a possum,Marsupial
37293,sports,How many dimples does a golf ball have?,336
37294,entertainment_music,What Is The Name Given To The Type Of Singing That Mimics An Instrumental Solo,Scat Singing
37295,food,What type of pastry is usually bought frozen in wafer thin slices ,Filo 
37296,general_knowledge,The Braves moved to Atlanta from where,Milwaukee
37297,general_knowledge,Which variety of apple is on the Beatles apple label,Granny Smith
37298,general_knowledge,What was the name of Thomas Jefferson's home,Montecello
37299,general_knowledge,In ancient India how were dead parents traditionally disposed of,Eaten by offspring as a sign of respect
37300,general_knowledge,Ward Green wrote the story for which famous film,Lady and the Tramp
37301,general_knowledge,"What is the animated videogame by Don Bluth, where the hero had to work his way through a trap infested castle",Dragons lair
37302,general_knowledge,What is the estimated weight of the great pyramid of Egypt,"6,648,000 tons"
37303,general_knowledge,U.S. Captials - South Carolina,Columbia
37304,science_nature,What does the symbol 'Am' represent?,Americium
37305,general_knowledge,What is quicksilver better known as,Mercury
37306,general_knowledge,Gin - lemon Juice - Sugar - Soda make what cocktail,Tom Collins
37307,general_knowledge,A receptacle for holy water is a(n) ____.,Font
37308,general_knowledge,Tropical plant with large flowering bracts,Bougainvillaea
37309,general_knowledge,Which American state passed a bill declaring Pi to be 3 ?,Indiana
37310,general_knowledge,What painting depicts the sister & the dentist of artist Grant Wood as rural farm folk,American gothic
37311,general_knowledge,Singapore uses the colours blue and yellow at funerals to ward off ______,Evil spirits
37312,general_knowledge,Followers of the unification church are nicknamed _______,Moonies
37313,general_knowledge,What was the name of king arthur's castle,Camelot
37314,entertainment_film,The Who' had a guiness world record for what?,Loudest Band
37315,general_knowledge,The aardvark is the first animal in the dictionary what's second,Aardwolf
37316,general_knowledge,Where is mount augustus,Western australia
37317,general_knowledge,"What Indian word means ""big village""",Canada
37318,entertainment_music,The Duo Erasure Consisted Of Vince Clark And Which Other Singer?,Andy Bell
37319,general_knowledge,In the creation myth on the fourth day God made what,Sun Moon Stars
37320,general_knowledge,Hamburgers were invented in what country,China
37321,general_knowledge,What was the name of long john silver's parrot,Captain flint
37322,general_knowledge,Of what is cetology a study,Whales
37323,general_knowledge,"What did dr john pemberton invent in atlanta, georgia in 1886",Coca cola
37324,general_knowledge,What does a hotwalker do,Walks a hot racehorse
37325,art,"Which Famous Book Begins With The Line 'Not long ago, there lived in London a young married couple of Dalmatian dogs named Pongo and Misses Pongo' ",101 Dalmations 
37326,science_nature,What is the name given to the green pigment in plants ,Chlorophyl 
37327,general_knowledge,Who wrote The Unbearable Lightness of Being,Milan kundera
37328,general_knowledge,"In which tv series do james van der beek, katie holmes, joshua jackson and michelle williams play",Dawson's creek
37329,general_knowledge,What monster is said to be living in a Scottish lake,Loch ness monster
37330,general_knowledge,France has the highest per capita consumption of ______,Cheese
37331,general_knowledge,When was the miss world competition founded,1951
37332,general_knowledge,"The Triassic, Jurrasic, and Cretaceous periods make up which era ?",Mesozoic Era
37333,celebrities,"What do Cleopatra, Margarett Thatcher, & Mia Farrow all have in common ",They All Had Twins 
37334,science_nature,A non-cancerous tumor is said to be _______.,Benign
37335,science_nature,Which metal was invented by British metallurgist Harold Brearley in 1912? ,Stainless Steel 
37336,general_knowledge,To which London club did Mycroft Holmes belong,Diogones
37337,general_knowledge,Which character lived at 3 stable mews City of London,John Steed in the
37338,general_knowledge,Which artist painted 'Guernica',Picasso
37339,science_nature," Marine iguanas, saltwater crocodiles, sea snakes, and sea turtles are the only surviving seawater_adapted __________",Reptiles
37340,general_knowledge,Fifty who had the nickname 'golden bear',Jack nicklaus
37341,general_knowledge,What is the common name for the aurora borealis,Northern lights
37342,general_knowledge,What florentine held that the ends justified the means,Machiavelli
37343,general_knowledge,What bird has double-plumed feathers,Emu
37344,history,"Samhain', literally means 'end of summer' and is a Gaelic language word. What is it's direct English equivalent ",November 
37345,geography,What is the capital of Venezuela,Caracas
37346,entertainment_film,"What was the setting for ""The Sound of Music""?",Austria
37347,general_knowledge,Francis What prime-time soap opera debuted as a five-part miniseries in 1978,Dallas
37348,general_knowledge,What is the Capital of: Slovenia,Ljubljana
37349,general_knowledge,What fabled monster has a lions head and a serpents tail,Chimera
37350,general_knowledge,Who proclaimed thanksgiving a national holiday in 1863,Abraham lincoln
37351,general_knowledge,"The Brodway version of Disney ""The Lion King"" uses more than ___________ puppets ",232
37352,science_nature,What are the units of measurement for Power ?,Watt
37353,science_nature,On the Moh Hardness scale what has a hardness of 10?,Diamond
37354,art,Which Author Wrote The 'Just So Stories''? ,Rudyard Kipling 
37355,entertainment_film,Who discovered gold on the Witwatersrand?,George Harrison
37356,science_nature,What travels in gaggles,Geese
37357,general_knowledge,What is the name of the largest South American lake,Lake maracaibo
37358,general_knowledge,What was the first name of Captain Dobey on Starsky & Hutch?,Harold
37359,general_knowledge,Where or what is a birds lore,Space between eye and beak
37360,general_knowledge,Who wrote Cliff Richards hit song Living Doll,Lionel Bart
37361,food,Which Fast Foon Advertised With The Slogan 'Wheres The Beef'' ,Wendy's 
37362,general_knowledge,"Countries of the world: north western Africa, Nouakchott is the capital",Mauritania
37363,general_knowledge,As who is Cassius Clay now known,Mohammed Ali
37364,general_knowledge,A prostitute with wealthy or upper class connections,Courtesan
37365,general_knowledge,All Sikhs must possess five things - one is a Kangha - what is it,Comb
37366,general_knowledge,What is the fear of being buried alive known as,Taphephobia
37367,general_knowledge,Where is the 'whispering gallery'?,St. Paul's Cathedral
37368,general_knowledge,What is the most populous domesticated creature in the US,Honey Bees
37369,general_knowledge,If you were eating calemare - what are you snacking on,Squid
37370,general_knowledge,What is a cyclone,Area of low pressure
37371,entertainment_music,Who Released Their 2nd Album Rhythm & Stealth In 1999,Left field
37372,general_knowledge,Marine creature with tusks,Walrus
37373,sports,Which is the only English football league team that has a name ending with the letter G? ,Reading 
37374,general_knowledge,Ecophobia is a fear of what,Home
37375,general_knowledge,The fastest bird is a spine tailed swift. How fast can it fly (mph),106
37376,science_nature,What Is The Slowest Fish? ,The Sea Horse 
37377,entertainment_board_games,"If you're involved in firing, throwing, and glazing, what do you do",Pottery
37378,general_knowledge,Who dubbed australia 'the lucky country',Donald horne
37379,general_knowledge,"Which colourless, odourless light gas is used to lift airships",Helium
37380,sports,Which record breaker won the first major Marathon she entered in 1996? ,Liz McColgan 
37381,general_knowledge,Billy the Kid was born in _____,1859
37382,general_knowledge,What is the Capital of: Nicaragua,Managua
37383,general_knowledge,What is the name of the Chicago baseball team based at Wrigley Field,Chicago cubs
37384,general_knowledge,In 1925 the worlds first what opened Luis Obispo California,Motel - Called Motel Inn
37385,general_knowledge,What is the only venomous british snake,Adder
37386,entertainment_music,"Which Big Voiced Singer Is Usually Associated With The Irving Berlin Song ""Theres No Business Like Showbusiness""",Ethel Merman
37387,general_knowledge,Which South African President was assassinated in 1966,Hendrik verwoerd
37388,general_knowledge,An Italian vinegar matured in wooden barrels,Balsamic
37389,general_knowledge,What is examined by an otoscope,The ear
37390,entertainment_music,Which Band Accompanied Vic Reeves On His Chart Topper “Dizzy”?,The Wonder Stuff
37391,general_knowledge,"What Ohio city is known as ""the rubber capital of the world""",Akron
37392,general_knowledge,What is the opposite of wet - if its not wet,Sweet
37393,general_knowledge,Kleptophobia is the fear of,Stealing
37394,general_knowledge,What word originally meant a dark cosmetic eye powder,Alcohol from Al Kuhul antimony
37395,celebrities,Which Tennis Player Was Jimmy Connors Engaged To ,Chirs Evet 
37396,history,Who Released The 70's Album Entitled Lark's Tongue in Aspic ,King Crimson 
37397,general_knowledge,"In Gaelic legend, who had a dog called Bran",Fingal
37398,general_knowledge,"Who played Sarah Connor in 1984's ""Terminator""?",Linda Hamilton
37399,entertainment_music,"Which British Pop Star Named His Son After The Singer ""Sitting On The Dock Of The Bay""?",Bryan Ferry (Otis)
37400,entertainment_music,Name Buddy Holly's Texas Home Town,Lubbock
37401,general_knowledge,How did Virginia Woolf die,Committed suicide
37402,history,When was D-day?,"June 6th, 1944"
37403,general_knowledge,Toxicophobia is a fear of ______,Poison
37404,general_knowledge,"On which story by Arthur C. Clarke was the film '2001 - A Space Odyssey"" based",The sentinel
37405,history,Which 1988 film saw Bruce Willis battling against a group of terrorists that crudely interrupted a Christmas party ,Die Hard'' 
37406,general_knowledge,The highest temperature ever recorded occurred in Libya in 1922. What was the temperature (fahrenehit),136
37407,general_knowledge,The FEI govern what sport,Equestrian
37408,entertainment_music,Which Group Was Put Together For A TV Programme Based In Miami,S Club 7
37409,general_knowledge,Who directed the film A Fistful of Dollars,Sergio leona
37410,general_knowledge,Who was the girl in Peter Seller's soup,Goldie hawn
37411,geography,"Which country borders Italy, Switzerland, West Germany, Czechoslovakia, Hungary, Yugoslavia, and Liechtenstein?",Austria
37412,general_knowledge,What character did Disney add to Winnie the Pooh not in books,Gopher
37413,general_knowledge,Who is credited with inventing television,John baird
37414,general_knowledge,"What, in Australian English is a coolabah",Tree
37415,entertainment_music,"Who Had A Hit In 1981 With ""Mustang Sally""",The Commitments
37416,general_knowledge,Chysoprase is a shade of what primary colour,Red
37417,sports,Within Which Sport Might You Encounter The Cyclops System ,Tennis 
37418,general_knowledge,The first atom bomb was dropped on which Japanese city,Hiroshima
37419,general_knowledge,Before it meant tall building what did skyscraper mean,Tall sailing ships masts
37420,entertainment_music,Who's First Top Ten Hit Was “Harvest For The World” In 1998?,The Christians
37421,general_knowledge,2 Bands Signed Their Very First Recording Contracts On The Day Elvis Died Name Either,Kiss / The Buzzcocks
37422,general_knowledge,"Over here we have a current account with a bank, what do the Americans call it",Checking account
37423,geography,What is the capital of Wales??,Cardiff
37424,food,"If you wanted to buy liver sausage in the US, what product name should you look for? ",Liverwurst 
37425,general_knowledge,The word athletics comes from the Greek athlos meaning what,Contest
37426,general_knowledge,On which continent would you be standing if you were visiting the Republic of Surinam,South america
37427,general_knowledge,"Who said - ""The mass of men lead lives of quiet desperation""",Henry Thoreau
37428,general_knowledge,Which is the only middle eastern county without a desert,Lebanon
37429,general_knowledge,What country has the car registration letter T,Thailand
37430,general_knowledge,"Where, in 1955, was one of the worst accidents in motor racing history, when 82 spectators were killed",Le mans
37431,general_knowledge,Which Composer Wrote The Classic Waltz 'The Blue Daube',Johann Strauss
37432,general_knowledge,What has 336 dimples,Golf ball
37433,general_knowledge,What do fennel leaves taste of,Aniseed
37434,general_knowledge,"The spaceship voyager found geysers on triton, a moon of which planet",Neptune
37435,general_knowledge,"What does the lady in the cafe order after Sally finishes proving to Harry that he can't tell the difference between a real and a faked orgasm in ""When Harry Met Sally""?",I'll have what she's having
37436,entertainment_music,Which Patti Smith Album Featured A Cover Shot By Controversial Photographer Robert Mapplethorpe,Horses
37437,general_knowledge,Mel gibson starred in the film version of which play that grossed the most,Hamlet
37438,geography,What is the capital of Tuvalu,Fanafuti
37439,geography,What is the capital of Cyprus?,Nicosia
37440,general_knowledge,Type of glazed earthenware,Delft
37441,general_knowledge,Playing cards in which the pips are part of an art design are called this.,Transformation cards
37442,general_knowledge,When did the series 'lost in space' premier on cbs,1965
37443,general_knowledge,"When the Hoovers did not want to be overheard by White House guests, they spoke to each other in what language",Chinese
37444,history,Which English King Was Given The Title Defender Of The Faith By Pope Leo X? ,Henry VIII 
37445,general_knowledge,All inhabitants of Pitcairn island belong to what US religion,Seventh Day Adventists
37446,entertainment_music,Which U2 Music Video Featured The Band Working Round The Streets Of Las Vegas,I Still Havent Found What Im Looking For
37447,general_knowledge,Stanley Burrell became famous as who,MC Hammer
37448,general_knowledge,Where is the black forest,Germany
37449,art,What is the name of Hamlet's tragic admirer?,Ophelia
37450,general_knowledge,Whose stories were illustrated.by 'Phiz',Charles dickens
37451,general_knowledge,What is a Roman Catholic devotion consisting of prayers or services on nine consecutive days called,Novena
37452,general_knowledge,What country does the Galapagos Islands belong to,Ecuador
37453,general_knowledge,Who was the only astronaut to lose his spacecraft,Gus grissom
37454,general_knowledge,What's the longest river in the british isles,Shannon
37455,general_knowledge,In 1956 David Bryant became the first World Champion in which sport,Bowls
37456,general_knowledge,What is a 'hotel-dieu' in france,Hospital
37457,general_knowledge,What film was a California cinema showing when it went on fire,The Towering Inferno
37458,general_knowledge,Who was the first test-tube baby,Louise joy brown
37459,general_knowledge,Middle of the Road' was recorded by which group in 1984,Pretenders
37460,general_knowledge,Canadians are sometimes thought of as,Canucks
37461,general_knowledge,What is the flower emblem of Wales?,Daffodil
37462,general_knowledge,Who wrote To Kill A Mockingbird,Harper lee
37463,general_knowledge,What item were originally called Hanways,Umbrellas
37464,general_knowledge,Who was the mother of Castor and Pollux,Helen of Troy
37465,general_knowledge,What come in types Transverse Scimitar and Barchan,Sand Dunes
37466,entertainment_film,This gypsy swing guitarist nearly had his left hand destroyed by fire as a child?,Django Reinhardt
37467,general_knowledge,If you have a rhytidectomy what procedure has occurred,A Face Lift
37468,general_knowledge,What is china's sorrow,Yellow river
37469,general_knowledge,Under the snow and ice Antarctica is actually a what,Desert
37470,entertainment_music,During the 1960's who recorded the Albums 'Exile On Main Street' & 'Beggars Banquet',The Rolling Stones
37471,general_knowledge,In the cartoon Scooby Do what is Scrappy Do's battle cry,Puppy Power
37472,general_knowledge,When did richard burton die,1984
37473,general_knowledge,Which liqueur has blackcurrant as its main source,Cassis
37474,general_knowledge,The Mariana Trench is the deepest point of the Pacific Ocean to what depth does it reach. Give answer in feet.,36160
37475,sports,Who won three ladies singles titles at Wimbledon in the 1950's? ,Maureen Connolly 
37476,history,Which Welsh actor won Christ's Robe in a dice game in The Robe? ,Richard Burton 
37477,general_knowledge,What is the general term used for various forms of insanity and mental derangement,Mental illness
37478,general_knowledge,What was the first commercial readymix food,Pancake mix
37479,science_nature, Koalas and humans are the only animals with unique prints. Koala prints cannot be distinguished from human __________,Fingerprints
37480,entertainment_music,Who Had A Uk Top 20 Hit In 1990 With No More Mr Nice Guy,Megadeath
37481,general_knowledge,Which word refers to the internal diameter of a gun barrel,Calibre
37482,entertainment_music,"Name Four Of The Artists Attributed To The 1970 Version Of ""Black Knight""","Blackmore, Gillan, Glover, Lord & Paice"
37483,science_nature,As what is a giraffe also known?,Camelopard
37484,art,"The ____ ____ school of poetry includes poets such as Frank O'Hara, John Ashbery and Kenneth Koch",New York
37485,entertainment_music,"For What Do The Initials SYSLJFM Stand For In Joe Tex's ""The Letter Song""",Save Your Sweet Love Just For Me
37486,general_knowledge,What is a Hummum,Turkish bath
37487,general_knowledge,"On Night Court,who was Harry's idol?",Mel Torme
37488,food,What is the full name of the flavour enhancer MSG?,Monosodium glutamate
37489,general_knowledge,"What was a large cask with a lidded opening, used to hold day's supply of drinking water for a ship's crewmen",Scuttlebutt
37490,food,A Tagine Is A Speciality Dish That Originated In Which Country ,Morocco 
37491,general_knowledge,What was the name of the skunk in Bambi,Flower
37492,general_knowledge,-isms: An economic system characterized by private ownership and competition.,Capitalism
37493,general_knowledge,A large sea birdor greedy person,Gannet
37494,entertainment_music,What Is The Small 4 String Instrument Originally From Hawaii,The Ukulele
37495,general_knowledge,Who was the French sculptor of the Statue of Liberty,Frederic bartholdi
37496,entertainment_film,"In the film 'Hackers', how old was 'zero_kool' when he was first arrested?",Eleven
37497,general_knowledge,To His Friends He Is Known As “Eric Claudin” How Is He Better Known Throughout The World?,The Phantom Of The Opera
37498,entertainment_music,Who Had A Number One Hit In 1962 With the Song Telstar,The Tornadoes
37499,entertainment_music,Who Thanked Heaven For Little Girls In Gigi,Maurice Cevalier
37500,entertainment_film,The film 'The Wizard Of ______'?,Oz
37501,entertainment_music,"Which American Metal Band Of The Late 1980's Featured The Singer ""Sebastian Bach""",Skid Row
37502,general_knowledge,Name the Egyptian God of funerals,Anubis
37503,art,Gandalf's elven name.,Mithrandir
37504,general_knowledge,In 1949 what was introduced to cars for the first time,The Ignition key
37505,sports,What type Of Creature Is Sonic In The Computer Game ,A Hedgehog 
37506,general_knowledge,In Minnesota it is illegal to tease what animal,Skunk
37507,general_knowledge,What is the worlds third largest island,Borneo
37508,entertainment_music,Who had a hit in 1976 with “you to me are everything”?,The real thing
37509,general_knowledge,Grotesque carved spout usually projecting from the gutter of a building,Gargoyle
37510,general_knowledge,What is the force that slows down or stops a moving thing,Friction
37511,general_knowledge,Vicky Pollard' is a character in which British TV comedy series?,Little Britain
37512,entertainment_music,In 1977 The Darts & Boney M Had Hits With Different Songs With The Same Title What Was The title,Daddy Cool
37513,general_knowledge,"What is it that walks on four feet in the morning, two feet at noon, and three feet in the evening ?",Man
37514,general_knowledge,Koniophobia is the fear of,Dust
37515,general_knowledge,"What actor played woody allen's best friend in ""annie hall""",Tony roberts
37516,general_knowledge,What did charles jung invent,Fortune cookies
37517,general_knowledge,"Which author wrote ""If not actually disgruntled, he was far from gruntled""",P g wodehouse
37518,general_knowledge,What is the applied science to the study of society,Sociology
37519,general_knowledge,"What country controls access to the North Sea from the rivers Schelde, Meuse & Rhine",Netherlands
37520,general_knowledge,What sea separate Naples and Algiers?,Meditteranean
37521,general_knowledge,What is the main ore of aluminium,Bauxite
37522,entertainment_film,What did Dagwood give up to marry Blondie?,A family inheritance
37523,general_knowledge,What is the seaport capital of Sardinia,Cagliari
37524,geography,What is the capital of the Dominican Republic?,Santo Domingo
37525,general_knowledge,The original plan for Disneyland included a land called what,Lilliputland
37526,entertainment_music,"Which Band Released The Album ""Caught In The Act"" In 1984",Styx
37527,general_knowledge,What is the currency of denmark,Krone
37528,general_knowledge,For which novel did A S Byatt win the Booker Prize in 1990,Possession
37529,general_knowledge,"Dominica, Mexico, Zambia, Kiribati, Fiji & Egypt all have what on their flags",Birds
37530,general_knowledge,Who wrote Gulliver’s Travels (both names),Jonathon Swift
37531,general_knowledge,Nyse in Swedish Tusszents in Hungarian Kychat in Czeck what,Sneeze
37532,art,A method of painting developed by Seurat and Signac in the 1880s. It used dabs of pure color that were intended to mix in the eyes of viewers rather than on the canvas. It is also called divisionism or neoimpressionism.,Pointillism
37533,general_knowledge,What city boasts Leonardo's famed fresco of the Last Supper,Milan
37534,general_knowledge,Which is Argentina's second most populous city,Cordoba
37535,general_knowledge,What is the biggest disqualifying factor for prospective astronauts,Eyesight
37536,sports,What Is The Name Of The Place Where Ice Hockey Players Are Sent For Breaking The Rules ,The Sin Bin 
37537,geography,In Which Country Is The Source Of The River Thames ,Gloucestershire 
37538,general_knowledge,What are the names of the Simon brothers from Simon & Simon?,Rick & AJ
37539,general_knowledge,"Which liqueur gives the cocktail ""Tequila Sunrise"" its red glow",Grenadine
37540,general_knowledge,What did Julia Ward Howe originate,Mothers day
37541,general_knowledge,"Homo sapiens"" means:",Man of knowledge
37542,general_knowledge,John Dunlop developed pneumatic tyres - what profession,Vet
37543,general_knowledge,Steely Dan is a band but what was the original steely dan,Chrome dildo
37544,general_knowledge,What is the old term for a golfer's nine iron,Niblick
37545,general_knowledge,How many pieces of bun are in a mcdonald's big mac,Three
37546,entertainment_music,Name The Film In Which Spandau Ballet's Kemp Brothers Later Starred,The Krays
37547,general_knowledge,What is the longest golf course to stage the British Open,Carnoustie 7066 yards
37548,general_knowledge,USA supreme court 1962 said who cant be imprisoned - illegal,Drug Addicts
37549,general_knowledge,What singer did Elvis Presley say was the greatest in the world,Roy Orbison
37550,general_knowledge,If something is caseous what is it like,Cheese
37551,general_knowledge,Spice made from the berry of the pimento plant,Allspice
37552,general_knowledge,"A series of small, fast steps executed with the feet very close together.",Pas de bourrée
37553,general_knowledge,What did physicist Lord Rutherford discover inside the nucleus of the atom,Protons
37554,sports,Which country won the World Cup of Soccer in 1982.,Italy
37555,general_knowledge,Which are the most used muscles in the body,Eye muscles
37556,entertainment_music,Which Groups First Top Ten Hit Was Entitled “ Right Now ” And Released in 1999,Atomic Kitten
37557,general_knowledge,In 1899 the Eastman company in the USA produced first what,Kodak 1 - hand held roll film cam
37558,general_knowledge,Which class of racing yacht has the same name as a Shakespeare play,Tempest
37559,general_knowledge,In Fresh Prince of Bel-Air what was the butlers name?,Gefforey
37560,general_knowledge,The sliothar is a leather covered cork ball used in which sport,Hurling
37561,geography,The Salto Alto (Angel Falls) in ______________ is the highest waterfall known. It is more than twenty times higher than Niagara.,Venezuela
37562,general_knowledge,Which two countries were involved in the 'Battle of the Thames',Britain & canada
37563,general_knowledge,What is the native form in which dna most commonly found,Double stranded helix
37564,sports,"Which famous sporting event first held in 1981, was won by Dick Beardsley? ",London Marathon 
37565,geography,The Monegasque _ natives of ________________ _ constitute only about 16 percent of the nation's population.,Monoco
37566,general_knowledge,What event in the Bible occurred at Bethany,Raising of Lazarus
37567,general_knowledge,Type of precious stone has a name literally means blue rock,Lapis Lazuli
37568,general_knowledge,Which Screen Legend Died On Christmas Day In 1977 In Switzerland,Charlie Chaplin
37569,geography,In which country is loch ness ,Scotland 
37570,general_knowledge,"What 1980s TV series written by Alan Bleasdale dramatised the life of Percy Toplis, a First World War deserter?",The Monocled Mutineer
37571,general_knowledge,Name Elvis Presley's twin brother,Aaron
37572,general_knowledge,Relating to food what are 'quenelles' type of,Dumpling
37573,entertainment_music,Which Actor Shares His Name With A 1984 Hit By Madness,Michael Caine
37574,general_knowledge,"While USSR sent Laika the dog into space, the USA sent Laska and Benjy, which were?",Mice
37575,general_knowledge,The Hart memorial trophy is awarded in which professional sport,Ice Hockey
37576,entertainment_music,"Which Female Icon Brought Out A Book Entitled ""Sex""",Madonna
37577,geography,What Word Represents Q In The Phonetic Alphabet? ,Quebec 
37578,general_knowledge,"What is made by heating carbon plasma to 20,000 degrees and condensing it under ultra high pressure",Diamonds
37579,general_knowledge,George V1 Mozart Al Jolson Casanova - which organisation,Freemasons
37580,general_knowledge,Why is the city La Paz in Bolivia safe from fire,To high - Not enough air to burn
37581,entertainment_music,Which Comedy Duo Performed The Stonk In 1991,Hale & Pace
37582,celebrities,Who Was At The Centre Of Englands Match Fixing Scandal ,Hansie Cronje 
37583,entertainment_music,"David Coverdale Was A Member Of ""Def Leppard"" Or ""Whitesnake""",Whitesnake
37584,general_knowledge,These license plates are manufactured by prisoners in the state prison in Concord. What is the slogan on them,Live free or die
37585,general_knowledge,Who wrote the opera 'rigoletto',Guiseppe verdi
37586,geography,Which city is on the east side of San Francisco Bay,Oakland
37587,general_knowledge,Farok Pluto Bulsara became more famous as who,Freddie Mercury
37588,general_knowledge,What is the fastest stroke in swimming,Freestyle
37589,general_knowledge,Riveting is a method of joining pieces of what,Metal
37590,entertainment_music,Name The Only Climax Blues Band Hit Whose Title Seems A Fitting Epitaph To Their Following Career,Couldn't Get It Right
37591,general_knowledge,What m°a°s°h unit does Hawkeye Pierce operate in,4077th
37592,general_knowledge,Who invented the dumb waiter,Thomas Jefferson
37593,general_knowledge,What does awol stand for,Absent without leave
37594,general_knowledge,What name's given to a number that exactly divides into another,Factor or Divisor
37595,general_knowledge,What color is the last and most valuable ball a snooker player must pocket,Black
37596,general_knowledge,Who made the first commercial boeing 747 flight from new york to london,Pan
37597,general_knowledge,"Which Long Running TV Show Began With a Pilot Episode Aptly Named ""Killer"" In 1983",Taggart
37598,general_knowledge,From the Greek meaning apple what do we call this fruit,Melon
37599,general_knowledge,What was Sherpa Tensing surname,Norgay
37600,general_knowledge,"What is known as the "" Palace of the Peak""",Chatsworth house
37601,general_knowledge,In which sport would you find turkeys and spares,Ten pin bowling
37602,general_knowledge,What is the atomic weight of uranium,92
37603,general_knowledge,30% of people quit this job in USA each year - what job,School Bus Driver
37604,art,What word is Isaac Asimov famous for coining ?,Robotics
37605,general_knowledge,What is a group of jellyfish,Smack
37606,general_knowledge,Highly poisonous substance used in the extraction of gold and silver,Cyanide
37607,general_knowledge,"Which city is, in terms of population, the second largest in Mexico",Guadalajara
37608,general_knowledge,Old Moore's Almanac' was founded in what year,1699
37609,general_knowledge,Anthropologists say what is the worlds oldest profession,Witch Doctor
37610,entertainment_music,What Was The Name Of Bennie Hils Fastest Milkman In The West,Ernie
37611,general_knowledge,What does a month beginning with a sunday always have,Friday the 13th
37612,general_knowledge,Nobody's perfect is the last line in which classic comedy film,Some Like it Hot
37613,art,"Who wrote three books under the title ""Das Kapital"" ?",Karl Marx
37614,general_knowledge,Nelophobia is the fear of,Glass
37615,general_knowledge,Ragdoll Korat Sphinx Tiffany - types of what,Cat Breeds
37616,history,Old superstition Wearing socks inside out protection from what ,Witches 
37617,entertainment_film,Who was the villain in 'Star Wars'?,Darth Vader
37618,general_knowledge,"Otto Titzling Is Often ""Wrongfully"" Credited As Being The Pioneer & Inventer Of Which Item Of Clothing",The Bra
37619,general_knowledge,What is the flower that stands for: prudence,Mountain iash
37620,general_knowledge,What pitcher was nicknamed oil can,Dennis boyd
37621,general_knowledge,What is the french phrase meaning 'on the contrary',Au contraire
37622,general_knowledge,Which collection of stories was told by Scheherazade,The thousand and one nights
37623,sports,What football team was formerly known as the Frankford Yellow Jackets?,Philadelphia Eagles
37624,general_knowledge,Who was nicknamed The Great Communicator,Ronald Regan
37625,general_knowledge,What is the worlds largest rodent,Capybara
37626,general_knowledge,What is the fifth largest country in the world,Brazil
37627,general_knowledge,Crazy Horse and Custer shared what childhood name,Curly
37628,general_knowledge,"A spout placed on the roof gutter of a Gothic building to carry away rainwater, usually carved in the shapes of fanciful animals and grotesque beasts.",Gargoyle
37629,science_nature,Which Metal Has the Chemical Symbol SN? ,Tin 
37630,general_knowledge,What is the state bird of 7 u.s states,Cardinal
37631,general_knowledge,What is the most commonly used oil in Chinese cookery,Groundnut or Peanut
37632,geography,What is the capital of Nauru ?,The district of Yaren
37633,general_knowledge,Who created the character Walter Mitty,James Thurber
